file,category,width,height,extension,bytes,sha1,duplicate_group
006_5a0fc4a8.png,unknown_numeric_other,128,128,.png,6065,3b49b58984d358c651ffa6186cf908fb13878db9,006.png;006_5a0fc4.png;006_5a0fc4a8.png
006_eff157.png,unknown_numeric_other,26,57,.png,3445,5b9d9d0f33f4c72364908357d87465a27a616b0a,006_eff157.png;006_eff15778.png
006_eff15778.png,unknown_numeric_other,26,57,.png,3445,5b9d9d0f33f4c72364908357d87465a27a616b0a,006_eff157.png;006_eff15778.png
03.png,unknown_numeric_other,480,4080,.png,1025643,49a7d582c2627c72501612450638d0f919a3634b,03.png;03_47b2e2.png;03_47b2e233.png
03_47b2e2.png,unknown_numeric_other,480,4080,.png,1025643,49a7d582c2627c72501612450638d0f919a3634b,03.png;03_47b2e2.png;03_47b2e233.png
03_47b2e233.png,unknown_numeric_other,480,4080,.png,1025643,49a7d582c2627c72501612450638d0f919a3634b,03.png;03_47b2e2.png;03_47b2e233.png
1.gif,animated_gif,16,16,.gif,771,942d8fe092c1c473af19906751c2bee5322a9b55,
1.png,unknown_numeric_other,120,124,.png,18593,9ca1f8ec1a95baa23de8f7f0f1b2cccf62795940,1.png;1_e18b44.png;1_e18b4431.png
10.png,unknown_numeric_other,96,40,.png,3795,ab97687269aee736a20dc66d7a3a90fd8ac5ef3c,
1001.png,items_60x60_numeric,60,60,.png,10493,b8bf4fed88dc91013d62db8957ac853a39ea8210,
1002.png,items_60x60_numeric,60,60,.png,7602,1f876d63d423097f6042edce9cfcd7c8a4707682,
1003.png,items_60x60_numeric,60,60,.png,11437,d35603e5cc254f9de099b9395e26311bbec1024a,
1005.png,items_60x60_numeric,60,60,.png,12460,c6b193e24f29d28485b5ad6f82f368924eea18a7,
1017.png,items_60x60_numeric,60,60,.png,9898,f5e5cfc5a79312c064ed54873c1e43a015a81f6e,
1018.png,items_60x60_numeric,60,60,.png,11199,64821b27f4ce551bc374fe2905f064da8f331d24,
1019.png,items_60x60_numeric,60,60,.png,7916,0d749e11f875c931dfd01377f1ff66eac95a5282,
1021.png,items_60x60_numeric,60,60,.png,9577,df998a9b4559b1057209dfdba2d9a1d43c134795,
1024.png,items_60x60_numeric,60,60,.png,9304,eb15c97311a1fb0a3944a38f280d473714277649,
1025.png,items_60x60_numeric,60,60,.png,9170,a4213ada95f96a6228a198af9afa9ef992b1e7f8,
1028.png,items_60x60_numeric,60,60,.png,10453,e0191d41a1489759f9b4f8b37e2f1906c0df0531,
1031.png,items_60x60_numeric,60,60,.png,11790,f87bf0b0eeb6fc22cc83d63e61cbfa3d7fc0c12e,
1040.png,items_60x60_numeric,60,60,.png,11843,aaaa22dc983592c6445b772d258a21bf577965d1,
1042.png,items_60x60_numeric,60,60,.png,9159,4940389fe2f280608a220c43e3d7ef00ffb4f429,
1066.png,items_60x60_numeric,60,60,.png,11041,8dcf6410b52356a8b77be641da6ee979717e8779,
1074.png,items_60x60_numeric,60,60,.png,12033,de50582f177730cab43308820697e09b5b9fc7cd,
1075.png,items_60x60_numeric,60,60,.png,11407,1b45a98ccce0ac544e754a7de5d809dd0af8da1f,
1099.png,items_60x60_numeric,60,60,.png,11908,d7074d5d7a3a0fafb61bd9b4fc245a487a6ee248,
11.png,unknown_numeric_other,120,124,.png,46180,0968f96c661c8e819c8893bc7e699ebc3e3f17c5,11.png;11_b45d41.png;11_b45d4170.png
1100.png,items_60x60_numeric,60,60,.png,8462,e6e3c8239f276610a6b371050bfedfe4b20fb647,
1152.png,items_60x60_numeric,60,60,.png,11054,c9cccfcdc4fea2fa34f4eeb924db0c21509f7966,
1183.png,items_60x60_numeric,60,60,.png,5934,659412d5e6793608f5b672127a0f1ca2fa633579,
11_b45d41.png,unknown_numeric_other,120,124,.png,46180,0968f96c661c8e819c8893bc7e699ebc3e3f17c5,11.png;11_b45d41.png;11_b45d4170.png
